,Results,Prediction,Accuracy,"cy, qk, ys, 111/144"
0,andy,cy,0.9999852,Nope
1,andy,cy,0.99971265,Nope
2,andy,cy,0.99165815,Nope
3,andy,cy,0.99999535,Nope
4,andy,cy,0.99998975,Nope
5,andy,cy,0.9999881,Nope
6,andy,cy,0.99999595,Nope
7,andy,cy,0.99995065,Nope
8,andy,cy,0.9997094,Nope
9,andy,cy,0.99999785,Nope
10,andy,cy,0.9999969,Nope
11,andy,cy,0.99999726,Nope
12,andy,cy,0.9999697,Nope
13,andy,cy,0.99999595,Nope
14,andy,cy,0.9997713,Nope
15,andy,cy,0.99999785,Nope
16,andy,cy,0.99999726,Nope
17,andy,cy,0.9999976,Nope
18,andy,cy,0.9936434,Nope
19,andy,cy,0.9999752,Nope
20,andy,qikai,0.72812873,Nope
21,andy,cy,0.9999881,Nope
22,andy,cy,0.999974,Nope
23,andy,cy,0.99993885,Nope
24,andy,qikai,0.6429946,Nope
25,andy,cy,0.99990857,Nope
26,andy,cy,0.9999223,Nope
27,andy,qikai,0.7593397,Nope
28,andy,cy,0.9998939,Nope
29,andy,cy,0.9991941,Nope
30,andy,cy,0.99991167,Nope
31,andy,cy,0.999995,Nope
32,andy,cy,0.99999535,Nope
33,andy,cy,0.9997602,Nope
34,andy,cy,0.9999975,Nope
35,andy,cy,0.9999964,Nope
36,andy,cy,0.999966,Nope
37,andy,cy,0.99999547,Nope
38,andy,cy,0.99999595,Nope
39,andy,cy,0.99993324,Nope
40,andy,cy,0.99974877,Nope
41,andy,cy,0.99999785,Nope
42,andy,cy,0.9985061,Nope
43,andy,cy,0.99998915,Nope
44,andy,cy,0.99998987,Nope
45,andy,cy,0.9816892,Nope
46,andy,qikai,0.6710198,Nope
47,andy,cy,0.99999785,Nope
48,azfar,ys,0.84858197,Nope
49,azfar,cy,0.75814587,Nope
50,azfar,cy,0.99971944,Nope
51,azfar,cy,0.99998605,Nope
52,azfar,cy,0.9997814,Nope
53,azfar,cy,0.99986804,Nope
54,azfar,cy,0.9993523,Nope
55,azfar,cy,0.9997285,Nope
56,azfar,cy,0.9999943,Nope
57,azfar,cy,0.99999785,Nope
58,azfar,cy,0.9999932,Nope
59,azfar,cy,0.9999937,Nope
60,azfar,ys,0.6689618,Nope
61,azfar,cy,0.9993536,Nope
62,azfar,cy,0.99993145,Nope
63,azfar,cy,0.99999726,Nope
64,azfar,cy,0.99993956,Nope
65,azfar,cy,0.9999676,Nope
66,azfar,cy,0.71097106,Nope
67,azfar,cy,0.9993563,Nope
68,azfar,cy,0.999912,Nope
69,azfar,cy,0.99999785,Nope
70,azfar,cy,0.9999101,Nope
71,azfar,cy,0.9999455,Nope
72,azfar,cy,0.99978524,Nope
73,azfar,cy,0.99997616,Nope
74,azfar,cy,0.9998654,Nope
75,azfar,cy,0.9999293,Nope
76,azfar,cy,0.9999968,Nope
77,azfar,cy,0.9999969,Nope
78,azfar,cy,0.99999774,Nope
79,azfar,cy,0.99999774,Nope
80,azfar,cy,0.99999774,Nope
81,azfar,cy,0.99999774,Nope
82,azfar,cy,0.99999774,Nope
83,azfar,cy,0.99999774,Nope
84,azfar,cy,0.9998528,Nope
85,azfar,cy,0.99998474,Nope
86,azfar,cy,0.9999176,Nope
87,azfar,cy,0.9999484,Nope
88,azfar,cy,0.9999969,Nope
89,azfar,cy,0.99999774,Nope
90,azfar,cy,0.99989665,Nope
91,azfar,cy,0.99998724,Nope
92,azfar,cy,0.9999354,Nope
93,azfar,cy,0.99997246,Nope
94,azfar,cy,0.99999726,Nope
95,azfar,cy,0.99999774,Nope
96,ch,ys,0.8772881,Nope
97,ch,ys,0.9931385,Nope
98,ch,ys,0.99561924,Nope
99,ch,ys,0.9956019,Nope
100,ch,ys,0.99547076,Nope
101,ch,ys,0.65966535,Nope
102,ch,ys,0.9936552,Nope
103,ch,ys,0.9951108,Nope
104,ch,ys,0.99485034,Nope
105,ch,ys,0.99371654,Nope
106,ch,ys,0.99011856,Nope
107,ch,ys,0.9887822,Nope
108,ch,ys,0.9948232,Nope
109,ch,ys,0.99244094,Nope
110,ch,ys,0.9953316,Nope
111,ch,ys,0.9935607,Nope
112,ch,ys,0.98145515,Nope
113,ch,qikai,0.6430241,Nope
114,ch,ys,0.99111253,Nope
115,ch,ys,0.99595875,Nope
116,ch,ys,0.9948088,Nope
117,ch,ys,0.9946726,Nope
118,ch,ys,0.9941869,Nope
119,ch,ys,0.9453261,Nope
120,ch,ys,0.99661654,Nope
121,ch,ys,0.9964509,Nope
122,ch,ys,0.9206015,Nope
123,ch,ys,0.9942099,Nope
124,ch,ys,0.99515545,Nope
125,ch,ys,0.8827827,Nope
126,ch,ys,0.9958215,Nope
127,ch,ys,0.993803,Nope
128,ch,ys,0.95064753,Nope
129,ch,ys,0.994829,Nope
130,ch,ys,0.99397165,Nope
131,ch,ys,0.8654027,Nope
132,ch,ys,0.99541533,Nope
133,ch,ys,0.994065,Nope
134,ch,qikai,0.7100664,Nope
135,ch,ys,0.994651,Nope
136,ch,ys,0.9952232,Nope
137,ch,ys,0.99498355,Nope
138,ch,ys,0.9864586,Nope
139,ch,ys,0.9939288,Nope
140,ch,qikai,0.6869061,Nope
141,ch,ys,0.99438816,Nope
142,ch,ys,0.9952958,Nope
143,ch,ys,0.99460644,Nope
144,cy,cy,0.9999541,Match
145,cy,cy,0.99999714,Match
146,cy,cy,0.9999976,Match
147,cy,cy,0.99999774,Match
148,cy,cy,0.99997294,Match
149,cy,cy,0.99999785,Match
150,cy,cy,0.9991109,Match
151,cy,cy,0.99996865,Match
152,cy,cy,0.9999654,Match
153,cy,cy,0.9999962,Match
154,cy,cy,0.9992274,Match
155,cy,cy,0.9999882,Match
156,cy,cy,0.99997604,Match
157,cy,cy,0.74474597,Match
158,cy,cy,0.75472754,Match
159,cy,cy,0.82613444,Match
160,cy,ys,0.9934331,Nope
161,cy,cy,0.8077349,Match
162,cy,cy,0.9999951,Match
163,cy,cy,0.9998361,Match
164,cy,cy,0.9999124,Match
165,cy,cy,0.99977607,Match
166,cy,ys,0.72013086,Nope
167,cy,cy,0.9997818,Match
168,cy,cy,0.99999654,Match
169,cy,cy,0.9999554,Match
170,cy,cy,0.7897089,Match
171,cy,cy,0.99994254,Match
172,cy,cy,0.92699665,Match
173,cy,cy,0.99998534,Match
174,cy,cy,0.99999774,Match
175,cy,cy,0.99999535,Match
176,cy,cy,0.98492044,Match
177,cy,cy,0.9999752,Match
178,cy,cy,0.9985966,Match
179,cy,cy,0.99999607,Match
180,cy,cy,0.9999732,Match
181,cy,cy,0.5967581,Match
182,cy,ys,0.98427606,Nope
183,cy,ys,0.8866951,Nope
184,cy,cy,0.90900767,Match
185,cy,cy,0.9757884,Match
186,cy,cy,0.99999785,Match
187,cy,cy,0.99996746,Match
188,cy,cy,0.9973513,Match
189,cy,cy,0.99996006,Match
190,cy,cy,0.9999815,Match
191,cy,cy,0.99998987,Match
192,gerald,ys,0.99254894,Nope
193,gerald,qikai,0.99149233,Nope
194,gerald,qikai,0.9957249,Nope
195,gerald,ys,0.8727372,Nope
196,gerald,ys,0.9555581,Nope
197,gerald,ys,0.568286,Nope
198,gerald,ys,0.9886508,Nope
199,gerald,qikai,0.9861649,Nope
200,gerald,qikai,0.9939977,Nope
201,gerald,ys,0.84946835,Nope
202,gerald,qikai,0.7771595,Nope
203,gerald,ys,0.84386474,Nope
204,gerald,ys,0.99036425,Nope
205,gerald,ys,0.9299235,Nope
206,gerald,qikai,0.7971933,Nope
207,gerald,ys,0.99580824,Nope
208,gerald,ys,0.90972257,Nope
209,gerald,ys,0.9952684,Nope
210,gerald,ys,0.88206035,Nope
211,gerald,qikai,0.9348998,Nope
212,gerald,qikai,0.99102294,Nope
213,gerald,ys,0.96820045,Nope
214,gerald,ys,0.9929675,Nope
215,gerald,ys,0.9613698,Nope
216,gerald,qikai,0.9644581,Nope
217,gerald,qikai,0.993508,Nope
218,gerald,ys,0.9349079,Nope
219,gerald,qikai,0.9938957,Nope
220,gerald,qikai,0.8510321,Nope
221,gerald,qikai,0.6741453,Nope
222,gerald,ys,0.8017292,Nope
223,gerald,qikai,0.96126205,Nope
224,gerald,ys,0.99478793,Nope
225,gerald,qikai,0.98081,Nope
226,gerald,ys,0.9597649,Nope
227,gerald,ys,0.95184565,Nope
228,gerald,ys,0.995685,Nope
229,gerald,ys,0.995568,Nope
230,gerald,ys,0.995411,Nope
231,gerald,ys,0.995917,Nope
232,gerald,ys,0.9955669,Nope
233,gerald,ys,0.9958668,Nope
234,gerald,ys,0.72786075,Nope
235,gerald,qikai,0.9253521,Nope
236,gerald,ys,0.99454767,Nope
237,gerald,qikai,0.97680956,Nope
238,gerald,qikai,0.9896207,Nope
239,gerald,ys,0.96588415,Nope
240,jc,ys,0.93731433,Nope
241,jc,ys,0.9055878,Nope
242,jc,ys,0.95523226,Nope
243,jc,cy,0.72678053,Nope
244,jc,ys,0.99168164,Nope
245,jc,ys,0.9951389,Nope
246,jc,ys,0.9883868,Nope
247,jc,ys,0.9802019,Nope
248,jc,ys,0.9939324,Nope
249,jc,ys,0.79692477,Nope
250,jc,ys,0.99506444,Nope
251,jc,ys,0.99596703,Nope
252,jc,ys,0.94844425,Nope
253,jc,ys,0.98233,Nope
254,jc,ys,0.982165,Nope
255,jc,ys,0.5795321,Nope
256,jc,ys,0.9919132,Nope
257,jc,ys,0.9948685,Nope
258,jc,ys,0.92493474,Nope
259,jc,ys,0.9822604,Nope
260,jc,ys,0.97570443,Nope
261,jc,cy,0.64868456,Nope
262,jc,ys,0.99186,Nope
263,jc,ys,0.9946425,Nope
264,jc,ys,0.94094527,Nope
265,jc,ys,0.9883767,Nope
266,jc,ys,0.9484096,Nope
267,jc,ys,0.97353065,Nope
268,jc,ys,0.9962394,Nope
269,jc,ys,0.9973361,Nope
270,jc,ys,0.78246844,Nope
271,jc,ys,0.955282,Nope
272,jc,qikai,0.66183233,Nope
273,jc,ys,0.9767899,Nope
274,jc,ys,0.9955041,Nope
275,jc,ys,0.9036785,Nope
276,jc,ys,0.9929919,Nope
277,jc,ys,0.9954201,Nope
278,jc,ys,0.9935772,Nope
279,jc,ys,0.9950197,Nope
280,jc,ys,0.99480176,Nope
281,jc,ys,0.982419,Nope
282,jc,ys,0.99637944,Nope
283,jc,ys,0.99552166,Nope
284,jc,ys,0.9946995,Nope
285,jc,ys,0.99509144,Nope
286,jc,ys,0.9962365,Nope
287,jc,ys,0.9933037,Nope
288,jonah,ys,0.9923103,Nope
289,jonah,ys,0.88201255,Nope
290,jonah,ys,0.88038,Nope
291,jonah,qikai,0.67022145,Nope
292,jonah,ys,0.9561488,Nope
293,jonah,ys,0.9409156,Nope
294,jonah,ys,0.97920555,Nope
295,jonah,ys,0.8163937,Nope
296,jonah,ys,0.83419836,Nope
297,jonah,cy,0.72451895,Nope
298,jonah,ys,0.96339095,Nope
299,jonah,ys,0.9215547,Nope
300,jonah,ys,0.98596734,Nope
301,jonah,ys,0.98212886,Nope
302,jonah,ys,0.9355059,Nope
303,jonah,qikai,0.6680278,Nope
304,jonah,ys,0.9236944,Nope
305,jonah,ys,0.96717685,Nope
306,jonah,ys,0.9035779,Nope
307,jonah,ys,0.9038863,Nope
308,jonah,cy,0.75677186,Nope
309,jonah,cy,0.5937311,Nope
310,jonah,ys,0.84855145,Nope
311,jonah,cy,0.63060915,Nope
312,jonah,ys,0.8120361,Nope
313,jonah,ys,0.79135007,Nope
314,jonah,ys,0.8871902,Nope
315,jonah,cy,0.7205121,Nope
316,jonah,qikai,0.4746697,Nope
317,jonah,cy,0.75933117,Nope
318,jonah,cy,0.5447921,Nope
319,jonah,cy,0.6691858,Nope
320,jonah,ys,0.5351207,Nope
321,jonah,cy,0.664405,Nope
322,jonah,qikai,0.6508794,Nope
323,jonah,cy,0.88921964,Nope
324,jonah,ys,0.9675761,Nope
325,jonah,ys,0.96352494,Nope
326,jonah,ys,0.97726405,Nope
327,jonah,ys,0.81907356,Nope
328,jonah,ys,0.7463768,Nope
329,jonah,cy,0.47231388,Nope
330,jonah,ys,0.9410262,Nope
331,jonah,ys,0.9408139,Nope
332,jonah,ys,0.9689436,Nope
333,jonah,cy,0.76012206,Nope
334,jonah,cy,0.5950276,Nope
335,jonah,cy,0.84932715,Nope
336,qikai,qikai,0.64621615,Match
337,qikai,qikai,0.9958982,Match
338,qikai,qikai,0.9938933,Match
339,qikai,cy,0.9944397,Nope
340,qikai,ys,0.48797628,Nope
341,qikai,qikai,0.82809335,Match
342,qikai,ys,0.96586746,Nope
343,qikai,qikai,0.98711747,Match
344,qikai,qikai,0.98570144,Match
345,qikai,cy,0.86967945,Nope
346,qikai,ys,0.9730505,Nope
347,qikai,ys,0.94056386,Nope
348,qikai,qikai,0.9991922,Match
349,qikai,ys,0.9294557,Nope
350,qikai,qikai,0.998889,Match
351,qikai,ys,0.60117656,Nope
352,qikai,ys,0.99140704,Nope
353,qikai,qikai,0.70606357,Match
354,qikai,qikai,0.99936634,Match
355,qikai,qikai,0.90472466,Match
356,qikai,qikai,0.99828464,Match
357,qikai,qikai,0.9069169,Match
358,qikai,ys,0.9915417,Nope
359,qikai,qikai,0.91325223,Match
360,qikai,qikai,0.9994733,Match
361,qikai,qikai,0.9836627,Match
362,qikai,qikai,0.9233935,Match
363,qikai,qikai,0.9958061,Match
364,qikai,ys,0.96410143,Nope
365,qikai,qikai,0.98759615,Match
366,qikai,qikai,0.9960412,Match
367,qikai,cy,0.6131233,Nope
368,qikai,ys,0.798161,Nope
369,qikai,qikai,0.9956403,Match
370,qikai,ys,0.88463825,Nope
371,qikai,qikai,0.55938554,Match
372,qikai,qikai,0.9885783,Match
373,qikai,ys,0.98895234,Nope
374,qikai,ys,0.99473166,Nope
375,qikai,ys,0.7661075,Nope
376,qikai,qikai,0.8239664,Match
377,qikai,ys,0.95957845,Nope
378,qikai,qikai,0.9959632,Match
379,qikai,ys,0.9768016,Nope
380,qikai,ys,0.9920853,Nope
381,qikai,qikai,0.85634077,Match
382,qikai,qikai,0.99354726,Match
383,qikai,ys,0.9317694,Nope
384,ys,ys,0.99426347,Match
385,ys,ys,0.9946371,Match
386,ys,ys,0.99499536,Match
387,ys,ys,0.99516845,Match
388,ys,qikai,0.995832,Nope
389,ys,ys,0.9943948,Match
390,ys,ys,0.9956161,Match
391,ys,ys,0.99627197,Match
392,ys,ys,0.9966196,Match
393,ys,ys,0.99735,Match
394,ys,qikai,0.99412656,Nope
395,ys,ys,0.99674016,Match
396,ys,ys,0.99552757,Match
397,ys,ys,0.9719849,Match
398,ys,ys,0.99640936,Match
399,ys,ys,0.9955042,Match
400,ys,qikai,0.95194286,Nope
401,ys,ys,0.9927902,Match
402,ys,ys,0.99540496,Match
403,ys,ys,0.99656844,Match
404,ys,ys,0.99585104,Match
405,ys,ys,0.9963786,Match
406,ys,qikai,0.9664233,Nope
407,ys,ys,0.99605405,Match
408,ys,ys,0.9955546,Match
409,ys,ys,0.9961665,Match
410,ys,ys,0.99568427,Match
411,ys,ys,0.99578047,Match
412,ys,qikai,0.9873404,Nope
413,ys,ys,0.99621177,Match
414,ys,ys,0.9952081,Match
415,ys,ys,0.9966049,Match
416,ys,ys,0.9961838,Match
417,ys,ys,0.9967753,Match
418,ys,qikai,0.9989152,Nope
419,ys,ys,0.9974251,Match
420,ys,qikai,0.9865181,Nope
421,ys,qikai,0.86250216,Nope
422,ys,ys,0.99066824,Match
423,ys,ys,0.99172884,Match
424,ys,ys,0.99351996,Match
425,ys,ys,0.9908161,Match
426,ys,ys,0.99554634,Match
427,ys,ys,0.99587655,Match
428,ys,ys,0.9956201,Match
429,ys,ys,0.995667,Match
430,ys,ys,0.9957858,Match
431,ys,ys,0.9965269,Match
432,zen,cy,0.99997056,Nope
433,zen,cy,0.99910635,Nope
434,zen,cy,0.99959487,Nope
435,zen,cy,0.99998176,Nope
436,zen,cy,0.9999864,Nope
437,zen,ys,0.98910743,Nope
438,zen,cy,0.9999728,Nope
439,zen,cy,0.99996674,Nope
440,zen,cy,0.9996911,Nope
441,zen,cy,0.99997485,Nope
442,zen,cy,0.9999553,Nope
443,zen,ys,0.9884398,Nope
444,zen,cy,0.99997747,Nope
445,zen,cy,0.9999808,Nope
446,zen,cy,0.99999774,Nope
447,zen,cy,0.99999785,Nope
448,zen,cy,0.9999981,Nope
449,zen,cy,0.9988951,Nope
450,zen,cy,0.99927026,Nope
451,zen,cy,0.99986184,Nope
452,zen,cy,0.9999957,Nope
453,zen,cy,0.99999785,Nope
454,zen,cy,0.99999785,Nope
455,zen,cy,0.7944203,Nope
456,zen,cy,0.99887353,Nope
457,zen,cy,0.99963784,Nope
458,zen,cy,0.999997,Nope
459,zen,cy,0.9999939,Nope
460,zen,cy,0.9999976,Nope
461,zen,cy,0.69795,Nope
462,zen,cy,0.99995184,Nope
463,zen,cy,0.99995124,Nope
464,zen,cy,0.99999774,Nope
465,zen,cy,0.99999785,Nope
466,zen,cy,0.9999906,Nope
467,zen,cy,0.9971064,Nope
468,zen,cy,0.9992854,Nope
469,zen,cy,0.999892,Nope
470,zen,cy,0.9999949,Nope
471,zen,cy,0.99998975,Nope
472,zen,cy,0.9999968,Nope
473,zen,cy,0.99999475,Nope
474,zen,ys,0.99403894,Nope
475,zen,ys,0.9902082,Nope
476,zen,cy,0.9943327,Nope
477,zen,ys,0.6488311,Nope
478,zen,cy,0.86158997,Nope
479,zen,cy,0.99771297,Nope
